correr,corrí,corriste,corrió,corrimos,corristeis,corrieron
aprender,aprendí,aprendiste,aprendió,aprendimos,aprendisteis,aprendieron
afeitar,afeité,afeitaste,afeitó,afeitamos,afeitasteis,afeitaron
beber,bebí,bebiste,bebió,bebimos,bebisteis,bebieron
abrir,abrí,abriste,abrió,abrimos,abristeis,abrieron
comer,comí,comiste,comió,comimos,comisteis,comieron
ayudar,ayudé,ayudaste,ayudó,ayudamos,ayudasteis,ayudaron
cubrir,cubrí,cubriste,cubrió,cubrimos,cubristeis,cubrieron
bañar,bañé,bañaste,bañó,bañamos,bañasteis,bañaron
bailar,bailé,bailaste,bailó,bailamos,bailasteis,bailaron
admitir,admití,admitiste,admitió,admitimos,admitisteis,admitieron
aceptar,acepté,aceptaste,aceptó,aceptamos,aceptasteis,aceptaron
asistir,asistí,asististe,asistió,asistimos,asististeis,asistieron
aburrir,aburrí,aburriste,aburrió,aburrimos,aburristeis,aburrieron
comprender,comprendí,comprendiste,comprendió,comprendimos,comprendisteis,comprendieron
aplaudir,aplaudí,aplaudiste,aplaudió,aplaudimos,aplaudisteis,aplaudieron
acudir,acudí,acudiste,acudió,acudimos,acudisteis,acudieron
acabar,acabé,acabaste,acabó,acabamos,acabisteis,acabaron
deber,debí,debiste,debió,debimos,debisteis,debieron
amar,amé,amaste,amó,amamos,amasteis,amaron
barrer,barrí,barriste,barrió,barrimos,barristes,barrieron
empezó


","é","aste","ó","amos","asteis","aron"





","í","iste","ió","imos","isteis","ieron"
